10	0.3363	0.3484	0.0327	10	0.4868	0.4566	0.0319	10	0.3277	0.3501	0.0314
20	0.3724	0.4029	0.0327	20	0.4485	0.4608	0.0245	20	0.3578	0.4064	0.0487
30	0.3978	0.4272	0.0311	30	0.5091	0.4670	0.0428	30	0.3819	0.4210	0.0400
40	0.4330	0.4336	0.0087	40	0.4872	0.4673	0.0249	40	0.4210	0.4306	0.0147
50	0.4593	0.4552	0.0144	50	0.4992	0.4680	0.0323	50	0.4425	0.4368	0.0124
60	0.4661	0.4509	0.0172	60	0.4876	0.4639	0.0255	60	0.4580	0.4525	0.0132
70	0.4786	0.4659	0.0171	70	0.4868	0.4635	0.0235	70	0.4709	0.4568	0.0191
80	0.4872	0.4672	0.0217	80	0.4967	0.4716	0.0258	80	0.4799	0.4589	0.0210
90	0.4988	0.4722	0.0271	90	0.4713	0.4610	0.0229	90	0.4881	0.4646	0.0244
100	0.5083	0.4726	0.0356	100	0.4863	0.4590	0.0295	100	0.4949	0.4736	0.0214
