10	0.2839	0.2712	0.0341	10	0.4138	0.3615	0.0523	10	0.2732	0.2678	0.0244
20	0.3368	0.3289	0.0214	20	0.3828	0.3606	0.0321	20	0.3235	0.3172	0.0191
30	0.3699	0.3388	0.0326	30	0.4284	0.3571	0.0713	30	0.3570	0.3312	0.0276
40	0.3862	0.3498	0.0389	40	0.3897	0.3707	0.0248	40	0.3738	0.3410	0.0359
50	0.3979	0.3525	0.0453	50	0.4456	0.3578	0.0877	50	0.3828	0.3467	0.0383
60	0.3979	0.3584	0.0394	60	0.4232	0.3626	0.0610	60	0.3936	0.3493	0.0443
70	0.4004	0.3592	0.0449	70	0.4000	0.3623	0.0388	70	0.3819	0.3554	0.0275
80	0.4004	0.3643	0.0361	80	0.4112	0.3613	0.0499	80	0.3914	0.3547	0.0367
90	0.4017	0.3531	0.0486	90	0.4000	0.3663	0.0337	90	0.3927	0.3570	0.0362
100	0.4069	0.3645	0.0423	100	0.4095	0.3712	0.0410	100	0.3936	0.3614	0.0321
