10	0.3363	0.3653	0.0331	10	0.4868	0.4576	0.0291	10	0.3277	0.3568	0.0381	10	0.2907	0.2889	0.0409
20	0.3724	0.4150	0.0426	20	0.4485	0.4636	0.0228	20	0.3578	0.3988	0.0411	20	0.3582	0.3684	0.0197
30	0.3978	0.4201	0.0260	30	0.5091	0.4626	0.0466	30	0.3819	0.4111	0.0321	30	0.3724	0.3850	0.0217
40	0.4330	0.4360	0.0130	40	0.4872	0.4637	0.0278	40	0.4210	0.4331	0.0194	40	0.3943	0.3950	0.0157
50	0.4593	0.4465	0.0168	50	0.4992	0.4646	0.0347	50	0.4425	0.4348	0.0175	50	0.4025	0.4194	0.0211
60	0.4661	0.4504	0.0175	60	0.4876	0.4671	0.0239	60	0.4580	0.4480	0.0151	60	0.4193	0.4324	0.0217
70	0.4786	0.4578	0.0213	70	0.4868	0.4637	0.0247	70	0.4709	0.4513	0.0214	70	0.4369	0.4340	0.0119
80	0.4872	0.4666	0.0233	80	0.4967	0.4723	0.0272	80	0.4799	0.4600	0.0223	80	0.4455	0.4391	0.0136
90	0.4988	0.4724	0.0272	90	0.4713	0.4578	0.0176	90	0.4881	0.4680	0.0221	90	0.4558	0.4394	0.0226
100	0.5083	0.4826	0.0257	100	0.4863	0.4621	0.0306	100	0.4949	0.4687	0.0262	100	0.4623	0.4418	0.0234
