10	0.2839	0.2903	0.0227	10	0.4138	0.3640	0.0524	10	0.2732	0.2655	0.0263	10	0.2513	0.2048	0.0524
20	0.3368	0.3313	0.0207	20	0.3828	0.3559	0.0296	20	0.3235	0.3105	0.0244	20	0.3041	0.2956	0.0274
30	0.3699	0.3388	0.0317	30	0.4284	0.3606	0.0678	30	0.3570	0.3251	0.0375	30	0.3312	0.2919	0.0408
40	0.3862	0.3453	0.0409	40	0.3897	0.3622	0.0307	40	0.3738	0.3421	0.0344	40	0.3613	0.3067	0.0546
50	0.3979	0.3620	0.0359	50	0.4456	0.3537	0.0918	50	0.3828	0.3459	0.0393	50	0.3703	0.3239	0.0473
60	0.3979	0.3613	0.0380	60	0.4232	0.3629	0.0603	60	0.3936	0.3433	0.0502	60	0.3811	0.3354	0.0458
70	0.4004	0.3508	0.0503	70	0.4000	0.3576	0.0424	70	0.3819	0.3466	0.0382	70	0.3884	0.3371	0.0513
80	0.4004	0.3591	0.0413	80	0.4112	0.3623	0.0489	80	0.3914	0.3435	0.0489	80	0.3918	0.3401	0.0517
90	0.4017	0.3600	0.0417	90	0.4000	0.3622	0.0398	90	0.3927	0.3586	0.0350	90	0.3918	0.3462	0.0457
100	0.4069	0.3659	0.0429	100	0.4095	0.3692	0.0415	100	0.3936	0.3468	0.0474	100	0.3983	0.3451	0.0532
