10	0.3363	0.3651	0.0299	10	0.4881	0.4962	0.0187	10	0.3234	0.3490	0.0274	10	0.2907	0.3069	0.0224
20	0.3724	0.4043	0.0319	20	0.4902	0.5004	0.0187	20	0.3569	0.3947	0.0378	20	0.3582	0.3784	0.0210
30	0.3978	0.4225	0.0247	30	0.4687	0.5027	0.0344	30	0.3823	0.4077	0.0254	30	0.3724	0.4008	0.0284
40	0.4330	0.4571	0.0240	40	0.4911	0.5025	0.0130	40	0.4163	0.4409	0.0246	40	0.3943	0.4260	0.0316
50	0.4593	0.4730	0.0146	50	0.5040	0.4985	0.0139	50	0.4451	0.4625	0.0174	50	0.4025	0.4334	0.0310
60	0.4661	0.4812	0.0154	60	0.5001	0.4983	0.0105	60	0.4580	0.4720	0.0143	60	0.4193	0.4456	0.0263
70	0.4786	0.4918	0.0132	70	0.5001	0.5014	0.0138	70	0.4674	0.4833	0.0160	70	0.4369	0.4585	0.0216
80	0.4872	0.5072	0.0200	80	0.4846	0.5034	0.0215	80	0.4829	0.4939	0.0126	80	0.4455	0.4643	0.0188
90	0.4988	0.5085	0.0098	90	0.4945	0.4985	0.0115	90	0.4894	0.5005	0.0112	90	0.4558	0.4731	0.0173
100	0.5083	0.5169	0.0099	100	0.5104	0.5016	0.0158	100	0.4958	0.5058	0.0102	100	0.4623	0.4787	0.0165
