10	0.2839	0.3060	0.0247	10	0.3695	0.3978	0.0289	10	0.2745	0.2875	0.0167	10	0.2513	0.2659	0.0208
20	0.3368	0.3530	0.0173	20	0.3781	0.4158	0.0378	20	0.3231	0.3427	0.0207	20	0.3041	0.3247	0.0226
30	0.3699	0.3845	0.0146	30	0.3996	0.4166	0.0228	30	0.3553	0.3694	0.0145	30	0.3312	0.3427	0.0161
40	0.3862	0.3991	0.0151	40	0.4026	0.4159	0.0185	40	0.3759	0.3922	0.0165	40	0.3613	0.3658	0.0085
50	0.3979	0.4088	0.0116	50	0.4095	0.4042	0.0122	50	0.3832	0.3983	0.0151	50	0.3703	0.3835	0.0148
60	0.3979	0.4096	0.0129	60	0.3592	0.4080	0.0488	60	0.3901	0.3987	0.0099	60	0.3811	0.3922	0.0124
70	0.4004	0.4118	0.0133	70	0.4039	0.3996	0.0121	70	0.3871	0.4012	0.0150	70	0.3884	0.3980	0.0125
80	0.4004	0.4106	0.0108	80	0.4297	0.4104	0.0250	80	0.3948	0.4022	0.0105	80	0.3918	0.4001	0.0101
90	0.4017	0.4113	0.0111	90	0.4159	0.4058	0.0160	90	0.3974	0.4050	0.0095	90	0.3918	0.4091	0.0173
100	0.4069	0.4178	0.0118	100	0.4077	0.4054	0.0198	100	0.3996	0.4085	0.0106	100	0.3983	0.4094	0.0129
